,Year,Race,Driver,Team,QualiPosition,GridPosition,TargetFinish,Points
278,2022,Hungarian_Grand_Prix,RIC,McLaren,9.0,9.0,15,0.0
279,2022,Hungarian_Grand_Prix,RUS,Mercedes,1.0,1.0,3,15.0
280,2022,Hungarian_Grand_Prix,SAI,Ferrari,2.0,2.0,4,12.0
281,2022,Hungarian_Grand_Prix,STR,Aston Martin,14.0,14.0,11,0.0
282,2022,Hungarian_Grand_Prix,TSU,AlphaTauri,16.0,16.0,19,0.0
283,2022,Hungarian_Grand_Prix,VER,Red Bull Racing,10.0,10.0,1,25.0
284,2022,Hungarian_Grand_Prix,VET,Aston Martin,18.0,18.0,10,1.0
285,2022,Hungarian_Grand_Prix,ZHO,Alfa Romeo,12.0,12.0,13,0.0
286,2022,Belgian_Grand_Prix,ALB,Williams,9.0,6.0,10,1.0
287,2022,Belgian_Grand_Prix,ALO,Alpine,6.0,3.0,5,10.0
288,2022,Belgian_Grand_Prix,BOT,Alfa Romeo,20.0,13.0,R,0.0
289,2022,Belgian_Grand_Prix,DEV,,,,,
290,2022,Belgian_Grand_Prix,GAS,AlphaTauri,12.0,0.0,9,2.0
291,2022,Belgian_Grand_Prix,HAM,Mercedes,7.0,4.0,R,0.0
292,2022,Belgian_Grand_Prix,HUL,,,,,
293,2022,Belgian_Grand_Prix,LAT,Williams,17.0,11.0,18,0.0
294,2022,Belgian_Grand_Prix,LEC,Ferrari,4.0,15.0,6,8.0
295,2022,Belgian_Grand_Prix,MAG,Haas F1 Team,18.0,12.0,16,0.0
296,2022,Belgian_Grand_Prix,MSC,Haas F1 Team,15.0,19.0,17,0.0
297,2022,Belgian_Grand_Prix,NOR,McLaren,10.0,17.0,12,0.0
298,2022,Belgian_Grand_Prix,OCO,Alpine,5.0,16.0,7,6.0
299,2022,Belgian_Grand_Prix,PER,Red Bull Racing,3.0,2.0,2,18.0
300,2022,Belgian_Grand_Prix,RIC,McLaren,11.0,7.0,15,0.0
301,2022,Belgian_Grand_Prix,RUS,Mercedes,8.0,5.0,4,12.0
302,2022,Belgian_Grand_Prix,SAI,Ferrari,2.0,1.0,3,15.0
303,2022,Belgian_Grand_Prix,STR,Aston Martin,14.0,9.0,11,0.0
304,2022,Belgian_Grand_Prix,TSU,AlphaTauri,19.0,0.0,13,0.0
305,2022,Belgian_Grand_Prix,VER,Red Bull Racing,1.0,14.0,1,26.0
306,2022,Belgian_Grand_Prix,VET,Aston Martin,16.0,10.0,8,4.0
307,2022,Belgian_Grand_Prix,ZHO,Alfa Romeo,13.0,18.0,14,0.0
308,2022,Dutch_Grand_Prix,ALB,Williams,15.0,15.0,12,0.0
309,2022,Dutch_Grand_Prix,ALO,Alpine,13.0,13.0,6,8.0
310,2022,Dutch_Grand_Prix,BOT,Alfa Romeo,16.0,16.0,R,0.0
311,2022,Dutch_Grand_Prix,DEV,,,,,
312,2022,Dutch_Grand_Prix,GAS,AlphaTauri,11.0,11.0,11,0.0
313,2022,Dutch_Grand_Prix,HAM,Mercedes,4.0,4.0,4,12.0
314,2022,Dutch_Grand_Prix,HUL,,,,,
315,2022,Dutch_Grand_Prix,LAT,Williams,20.0,20.0,18,0.0
316,2022,Dutch_Grand_Prix,LEC,Ferrari,2.0,2.0,3,15.0
317,2022,Dutch_Grand_Prix,MAG,Haas F1 Team,18.0,18.0,15,0.0
318,2022,Dutch_Grand_Prix,MSC,Haas F1 Team,8.0,8.0,13,0.0
319,2022,Dutch_Grand_Prix,NOR,McLaren,7.0,7.0,7,6.0
320,2022,Dutch_Grand_Prix,OCO,Alpine,12.0,12.0,9,2.0
321,2022,Dutch_Grand_Prix,PER,Red Bull Racing,5.0,5.0,5,10.0
322,2022,Dutch_Grand_Prix,RIC,McLaren,17.0,17.0,17,0.0
323,2022,Dutch_Grand_Prix,RUS,Mercedes,6.0,6.0,2,18.0
324,2022,Dutch_Grand_Prix,SAI,Ferrari,3.0,3.0,8,4.0
325,2022,Dutch_Grand_Prix,STR,Aston Martin,10.0,10.0,10,1.0
326,2022,Dutch_Grand_Prix,TSU,AlphaTauri,9.0,9.0,R,0.0
327,2022,Dutch_Grand_Prix,VER,Red Bull Racing,1.0,1.0,1,26.0
328,2022,Dutch_Grand_Prix,VET,Aston Martin,19.0,19.0,14,0.0
329,2022,Dutch_Grand_Prix,ZHO,Alfa Romeo,14.0,14.0,16,0.0
330,2022,Italian_Grand_Prix,ALB,,,,,
